Organisation,Country,Status,Official name (+source),Also known as,Website,Instagram,Est. company size,Primary customers,Year founded,Ownership status,Core model,Geographic scope,Categories,Key partners / customers,Impact metrics,Conf: name,Conf: year,Conf: impact,Verification notes,GitHub slug,Short summary,Logo URL,Featured image URL,SEO description,Primary colour,Tags,Last verified date,Last updated date,Researcher,Source count,Overall confidence,Overall confidence score,REUSE priority rating,SDGs,Latitude,Longitude,Geocode precision
Dükkan (Atıksız Yaşam Dükkanı) - Kadıköy Municipality,"Turkey (Kadıköy district, Istanbul)",Active,"Atıksız Yaşam Dükkanı (Zero Waste Life Shop), Kadıköy Belediyesi (Kadıköy Municipality)",Not publicly available,https://dukkan.kadikoy.bel.tr/,Not publicly available,Not publicly available,Residents of Kadıköy district and visitors to Istanbul seeking package-free/zero-waste shopping; local producers supplying the shop's product range.,"2020 (first store opened 5 June 2020, World Environment Day, at Feneryolu Sabit Pazarı); second location opened 2022 at Caddebostan Kültür Merkezi (CKM)","Public — operated by Kadıköy Belediyesi (Kadıköy Municipality), a local government body","The Dükkan operates as a public-sector retail service rather than a commercial enterprise: it is directly run by Kadıköy Municipality as part of its environmental/sustainability programme, aiming to demonstrate and normalise package-free shopping rather than to generate profit. Customers bring their own reusable bags, sacks or jars to purchase products across categories including ""Daily Life,"" ""Food,"" ""Cleaning,"" ""Kitchen,"" and ""Personal Care & Health"" — items are sold unpackaged or in recyclable packaging by weight/volume. The municipality also uses digital invoicing","Turkey (Kadıköy district, Istanbul)",Municipal — Zero-Waste Refill Retail,"- Local producers and artisans supplying unpackaged goods (unnamed specific businesses in sources reviewed) - Recognised as a good-practice example in European municipal sustainability circles (per cevremuhendisligi.org coverage), though the specific recognising body/programme is not named in detail in sources reviewed","Not publicly available — no independently audited figures for packaging waste avoided, customer volume, or water refilled were found in verified public sources; sources confirm two operating locations (Feneryolu since 2020, Caddebostan/CKM since 2022).",High,High,Low,"Seed URL corrected: seed listed ""https://kadikoydukkan.kadikoy.bel.tr"" which does not match verified working domain; the correct official site is https://dukkan.kadikoy.bel.tr/. Confirmed municipal ownership (Kadıköy Belediyesi) and added founding date (5 June 2020) and second-location detail (2022, Caddebostan Kültür Merkezi/CKM) not present in seed data. --- Confidence — Name: High | Founding Year: High | Impact Data: Low | Last Verified: 2026-07-18 | Research Version: V5",dukkan-kadikoy,"The Atıksız Yaşam Dükkanı (""Zero Waste Life Shop"") is a municipally-run retail initiative of Kadıköy Belediyesi (Kadıköy Municipality) in Istanbul, described in Turkish press and municipal sources as the country's first and only local-government zero-waste store. The first location opened on 5 June 2020 (World Environment Day) at the Feneryolu fixed market, with a second branch opening in 2022 at the Caddebostan Culture Centre (CKM). The shop sells unpackaged or minimally-packaged food, cleaning, kitchen and",Not publicly available,Not publicly available,"The Atıksız Yaşam Dükkanı (""Zero Waste Life Shop"") is a municipally-run retail initiative of Kadıköy Belediyesi (Kadıköy Municipality) in Istanbul, described in Turkish press and municipal sources as the country's",Not publicly available,"consumer-education, refill, waste-reduction",2026-07-18,2026-07-18,AI,6,Medium,77,★★★★ High,SDG 12: Responsible Consumption and Production; SDG 4: Quality Education,41.0082,28.9784,city
E-Mart,South Korea (Seoul),Active,E-MART Inc. (이마트),Not publicly available,https://store.emart.com/main/main.do,Not publicly available,Not publicly available,"General retail shoppers across South Korea (core business); household/laundry-product shoppers at pilot store locations (Seongsu, Anseong, Wangsimni, Eunpyeong, Jukjeon, Yeongdeungpo, Suwon, Songrim) for the Eco Refill Station.",1993 (founded 12 November 1993 by Shinsegae as Korea's first discount-store chain),Publicly listed on the Korea Exchange (KRX: 139480); subsidiary of Shinsegae Inc.,"E-Mart's core business model is large-format discount retail: it sells groceries, household goods and general merchandise through Emart and Emart Traders store formats plus e-commerce, generating revenue via conventional retail margins. Its Eco Refill Station initiative operates as an in-store vending-machine-style dispenser: customers bring a dedicated refill container and dispense SugarBubble-brand ""Natural Bubble Laundry Detergent"" or ""Snow Cotton Fabric Softener"" directly, paying a reduced per-refill price (reported at 4,500 KRW for 3L of detergent and 3,600 KRW for 3L of",South Korea (Seoul),Retail — Refill Systems Pilot (Laundry/Fabric Care),"- SugarBubble (detergent/fabric-softener product partner for the refill station) — sedaily.com, etnews.com - Republic of Korea Ministry of Environment (public-sector partner supporting the refill pilot) — greenpeace.org/korea - Korea Environment Institute (public research-institute partner) — hankyung.com - Greenpeace Korea (public commentary/endorsement of the refill-system introduction) — greenpeace.org/korea","Reported average of over 1,000 customer uses per month across Eco Refill Station locations (Korean press coverage, 2021); refill pricing represented a 35-39% discount versus full-size pre-packaged products (sedaily.com/etnews.com, 2021); refill process time of approximately 70-80 seconds per 3L dispense. Figures are as reported in Korean business press at the time of the pilot's 2020-2021 expansion; no more recent independently audited data on current scale or cumulative plastic-bottle reduction was found in verified public sources.",High,High,Medium,"Seed data confirmed accurate: founding year 1993 and KRX:139480 listing verified via stock-data sources. Added detail not in seed: specific refill-station launch date (September 2020), named partners (SugarBubble, Ministry of Environment, Korea Environment Institute), pilot store locations, and reported pricing/usage figures. No public source found confirming the refill station's current (2026) operational status, so this should be treated as a documented 2020-2021 pilot/expansion rather than a confirmed ongoing programme. --- Confidence — Name: High | Founding Year: High | Impact",e-mart,"E-Mart is South Korea's oldest and largest discount-store chain, founded in 1993 by Shinsegae and now a publicly listed subsidiary (KRX: 139480) operating Emart discount stores, Emart Traders wholesale-style stores, and online retail (Emart Mall/Traders Mall). While E-Mart's core business is conventional grocery/discount retail, this profile focuses on its ""Eco Refill Station"" pilot: a laundry-detergent and fabric-softener refill vending system launched in September 2020 at E-Mart Seongsu and Traders Anseong, developed with detergent brand SugarBubble,",Not publicly available,Not publicly available,"E-Mart is South Korea's oldest and largest discount-store chain, founded in 1993 by Shinsegae and now a publicly listed subsidiary (KRX: 139480) operating Emart discount stores, Emart Traders wholesale-style stores,",Not publicly available,"consumer-education, refill, waste-reduction",2026-07-18,2026-07-18,AI,8,High,87,★★★★ High,SDG 12: Responsible Consumption and Production; SDG 4: Quality Education,37.5665,126.978,city
Earth Care Foundation,Philippines,Not publicly available,"Earth Care Foundation - source: norway.no (Norwegian Embassy Manila, original candidate research)",Not publicly available,Not confirmed in this pass,Not publicly available,Not publicly available,Not applicable - advocacy/NGO role,Not publicly available,Not publicly available,Partner organisation (alongside WWF-Philippines and the Royal Norwegian Embassy in Manila) supporting the feasibility study for the Philippines' national Deposit Return System - per original candidate research; role appears advisory/study-support rather than an operating reuse system,Philippines,Deposit-return (supporting/advocacy organisation) - recommend the Foundation reassess category fit given advisory role,"WWF-Philippines, Royal Norwegian Embassy Manila",Not publicly available.,Medium,Medium,Low,"No new independent corroboration found beyond my original single-source (Norwegian Embassy press release) candidate entry in this second pass. Given its advisory/study-support role rather than direct operation of a reuse system, recommend the Foundation reassess whether this fits the database's operating-criteria scope. --- Confidence — Name: Low | Founding Year: Low | Impact Data: Low | Overall: Low | Last Verified: 03/08/2026 | Research Version: V5 (batch add)",earth-care-foundation,Partner organisation (alongside WWF-Philippines and the Royal Norwegian Embassy in Manila) supporting the feasibility study and eventual pilot rollout of the Philippines' national Deposit Return System for beverage containers.,Not publicly available,Not publicly available,Partner organisation (alongside WWF-Philippines and the Royal Norwegian Embassy in Manila) supporting the feasibility study and eventual pilot rollout of the Philippines' national Deposit Return System for beverage containers.,Not publicly available,Not publicly available,2026-07-17,2026-07-17,AI,0,Low,50,Not publicly available,SDG 12: Responsible Consumption and Production,14.5995,120.9842,country
EarthHero,United States (Colorado),"Active, independent company",EarthHero,Not publicly available,https://earthhero.com/,Not publicly available,Not publicly available,Individual eco-conscious consumers in the US (B2C); businesses purchasing sustainable corporate/client gifts via the EarthHero Gifting arm.,2017,Privately held; founded/led by Ryan Lewis (CEO) and Brian Linton,"EarthHero operates a curated multi-vendor e-commerce marketplace: rather than manufacturing products itself, it vets and lists items from 500+ independent sustainable brands, taking a retail/marketplace margin on sales. Its differentiator versus general marketplaces (e.g. Amazon) is an explicit sustainability screening process (the ""5-Pillar Sourcing Methodology"") applied before any brand or product is listed, covering areas such as materials, packaging, manufacturing practices and company values. Revenue comes from direct-to-consumer sales across broad categories (home & kitchen, beauty, bathroom, cleaning, baby &",United States (Colorado),Other (B2C sustainable-goods e-commerce marketplace),1% for the Planet (member); Climate Neutral (certified company); TerraCycle (product-collection tie-ins referenced on-site). No formal reuse/refill infrastructure partnerships identified.,"Not publicly available (site states ""500+ vetted sustainable brands"" and ""thousands of products,"" but no dated, quantified environmental impact metrics such as plastic diverted or emissions avoided were found).",High,High,Low,"Seed entry (B2C eco-friendly marketplace, US) confirmed accurate. Added founding year (2017), founders (Ryan Lewis, and Brian Linton per one secondary source — only Lewis is confirmed as current CEO on the official ""Our Story"" page), and HQ state (Colorado). No B-Corp certification was confirmed on-site despite being commonly associated with such marketplaces; only Climate Neutral and 1% for the Planet are confirmed. No quantified impact metrics were located. --- Confidence — Name: High | Founding Year: High | Impact",earthhero,"EarthHero is a Colorado-based online marketplace launched in 2017 that curates sustainably made consumer products from vetted, independent brands. Founded by Ryan Lewis (CEO), the company positions itself as a ""one-stop shop"" for eco-friendly alternatives across home, beauty, cleaning, baby, pet, apparel and tech categories. EarthHero screens vendor brands through a proprietary ""5-Pillar Sourcing Methodology"" before listing them, is a Climate Neutral Certified company, and is a member of 1% for the Planet.",Not publicly available,Not publicly available,"EarthHero is a Colorado-based online marketplace launched in 2017 that curates sustainably made consumer products from vetted, independent brands. Founded by Ryan Lewis (CEO), the company positions itself as a",Not publicly available,consumer-education,2026-07-18,2026-07-18,AI,4,Medium,77,★★ Low,SDG 4: Quality Education,39.8283,-98.5795,country
Earthware (Earthware Eco Lifestyle),"South Africa (Randburg, Johannesburg)",Active,Earthware Eco Lifestyle,Not publicly available,https://earthware.co.za/,Not publicly available,Not publicly available,"South African consumers, caterers, event organisers and food-service businesses seeking compostable disposable tableware as an alternative to plastic.",Not publicly available,Not publicly available (appears to be a privately held small business),"Earthware operates as a direct-to-consumer and business-to-business online retailer, selling imported/sourced areca palm-leaf disposable tableware (plates, platters, bowls, including a ""heart"" bowl range) alongside complementary compostable products such as eco napitkins, plastic-free cellophane bags and wooden cutlery. Customers order via the website with stated delivery times of 3-7 working days. The core value proposition is substituting single-use plastic or paper tableware — commonly used for events, catering and takeaway food service — with a compostable, plant-based alternative made from a","South Africa (Randburg, Johannesburg)",Waste Reduction,Not publicly available.,Not publicly available.,High,Low,Low,"Seed description (compostable palm-leaf tableware from fallen areca palm leaves, South Africa) confirmed accurate. Founding year, founders and ownership could not be verified from official site or search results — recorded as ""Not publicly available"" rather than estimated. Note a similarly named but distinct company ""ArecaWare"" (arecaware.co.za / arecaware.com) also sells areca palm leaf products in South Africa; care was taken not to conflate the two. --- Confidence — Name: High | Founding Year: Low | Impact Data: Low |",earthware,"Earthware Eco Lifestyle is a South African e-commerce retailer specialising in disposable tableware made from fallen areca palm leaves. The company markets its plates, bowls and platters as fully biodegradable and organic, made without harming trees or using chemicals or artificial additives, converting an agricultural waste by-product into single-use dinnerware. The business is based in North Riding, Randburg, Johannesburg, and ships nationally within South Africa. No founding date, founders, or ownership structure was found on",Not publicly available,Not publicly available,"Earthware Eco Lifestyle is a South African e-commerce retailer specialising in disposable tableware made from fallen areca palm leaves. The company markets its plates, bowls and platters as fully biodegradable",Not publicly available,"material-recovery, waste-reduction",2026-07-18,2026-07-18,AI,3,Low,53,★ Low relevance,SDG 12: Responsible Consumption and Production,-26.2041,28.0473,city
EarthWay Refill,"Ireland (Midleton, County Cork)","Active, independent small business",EarthWay Refill (The Earthway Refill Shop),Not publicly available,https://earthwayrefill.ie/ (Facebook: https://www.facebook.com/Earthwayrefillcork/),Not publicly available,Not publicly available,"Local households and consumers in Midleton and East Cork seeking package-free, low-waste shopping options.",2020,Privately owned (Wendy Hickey and Andrea Sivieri),"EarthWay Refill operates a bricks-and-mortar, packaging-free retail model at 3 Main Street, Townparks, Midleton, Co. Cork. Customers bring their own containers (or reuse ones purchased in-store) and pay by weight for bulk dried goods such as pasta, grains, flour, seeds, cereal, nuts, sweets, tea, coffee and herbs, plus bulk oils, and refillable household cleaning products and body-care items. This eliminates single-use packaging at the point of sale and encourages repeat, low-waste shopping habits. As a single-location independent retailer, the business","Ireland (Midleton, County Cork)",Refill Systems,Featured and supported by VOICE Ireland (environmental charity promoting waste reduction/reuse) and profiled by We Choose Reuse as a case study. No formal commercial partnerships are publicly documented.,Not publicly available.,High,High,Low,"Seed entry was accurate; official name confirmed as ""EarthWay Refill"" / ""The Earthway Refill Shop"" (branding varies slightly across sources). Founding year (2020) and founders (Wendy Hickey and Andrea Sivieri) confirmed via VOICE Ireland article. No measurable impact metrics found in any source. Direct WebFetch of earthwayrefill.ie failed (no output); information instead corroborated via VOICE Ireland, Echo Live, and We Choose Reuse coverage. --- Confidence — Name: High | Founding Year: High | Impact Data: Low | Last Verified: 2026-07-18",earthway-refill,"EarthWay Refill is a small, independently owned package-free refill store in Midleton, East Cork, Ireland, opened in summer 2020 by Wendy Hickey and her partner Andrea Sivieri. Wendy was inspired by refill dispensers she encountered in an Italian health food shop and, as a parent of a large family struggling to reduce single-use plastic, set out to bring the same model to East Cork. The shop sells dry goods, oils, cleaning products and body-care items",Not publicly available,Not publicly available,"EarthWay Refill is a small, independently owned package-free refill store in Midleton, East Cork, Ireland, opened in summer 2020 by Wendy Hickey and her partner Andrea Sivieri. Wendy was inspired",Not publicly available,"consumer-education, refill, waste-reduction",2026-07-18,2026-07-18,AI,7,Medium,77,★★ Low,SDG 12: Responsible Consumption and Production; SDG 4: Quality Education,51.8985,-8.4756,city
ebebek,Turkey (Istanbul); UK subsidiary at https://ebebek.co.uk/,"Active, publicly listed (IPO 2023, Borsa Istanbul: EBEBK)",ebebek (e-bebek.com; corporate entity e-bebek Mağazacılık A.Ş.),Not publicly available,https://ebebek.com/ ; https://ebebek.co.uk/ (UK) ; https://kurumsal.ebebek.com/ (corporate),Not publicly available,Not publicly available,"Parents and expectant parents in Turkey (primary market), and growing customer bases in the UK and Iraq via new storefronts.",2001 (as e-bebek.com); physical retail from 2003,Majority owned by the Topbaş family (acquired 2011); public shareholders since 2023 IPO,"ebebek's core business is omnichannel retail of baby and mother-care products (clothing, diapers, toys, feeding equipment, maternal health products) through 300+ physical stores and e-commerce in Turkey, with newer storefronts in the UK and Iraq. Layered onto this core retail model is a refill initiative branded ""baby me Deterjan Dolum İstasyonu"" (baby me Detergent Refill Station), rolled out to 11 stores across Turkey (including Istanbul Bostancı and Beylikdüzü, Bursa, Eskişehir, Aksaray, Antalya, Samsun, Diyarbakır, Adana and Izmir), where customers bring",Turkey (Istanbul); UK subsidiary at https://ebebek.co.uk/,Refill Systems,"No third-party reuse/refill partnerships identified; the refill programme uses ebebek's own ""baby me"" private label. Company publishes its own sustainability/social-responsibility reports via its corporate site.","Per ebebek's own reporting (via Perakende.org/company social media, exact reporting date not stated but referencing cumulative programme totals): the baby me Detergent Refill Stations have saved approximately 5,873 plastic bottles from disposal, comprising ~2,877 detergent bottles, ~1,355 fabric softener bottles, ~934 bottle-cleaner bottles and ~707 stain-remover bottles. This figure is self-reported by the company/its retail-press coverage, not independently audited.",High,Medium,Medium,"Seed description (""subsidiary, international baby-goods retail chain, bulk dispensers for laundry/fabric care"") is substantially confirmed: ebebek is Turkey-headquartered (not a subsidiary of a foreign parent — the UK operation is ebebek's own subsidiary/expansion, so ""subsidiary"" direction was corrected), and the detergent/fabric-care refill stations are confirmed under the ""baby me"" private label across 11 stores. Founding year corrected/clarified: 2001 as e-commerce site, 2003 for physical retail (some sources cite a predecessor ""bebek.com"" from 2000). Ownership detail (Topbaş family, 2011 acquisition; 2023",ebebek,"ebebek is Turkey's largest mother-and-baby products retail chain, founded in 2001 as an e-commerce site and expanding into physical stores from 2003. Majority-owned by the Topbaş family since 2011 and publicly listed via IPO in 2023, ebebek operates 300+ stores across 71 Turkish cities plus recent international expansion into the UK (2024) and Iraq (2025). Under its ""baby me"" private label, ebebek has installed in-store detergent refill stations across a subset of its Turkish stores,",Not publicly available,Not publicly available,"ebebek is Turkey's largest mother-and-baby products retail chain, founded in 2001 as an e-commerce site and expanding into physical stores from 2003. Majority-owned by the Topbaş family since 2011 and",Not publicly available,"consumer-education, refill, reusable-packaging, waste-reduction",2026-07-18,2026-07-18,AI,6,Medium,73,★★★ Medium,SDG 12: Responsible Consumption and Production; SDG 4: Quality Education,41.0082,28.9784,city
EC30,"United States (Procter & Gamble, Cincinnati, Ohio)",Active,EC30,Not publicly available,https://ec30clean.com/,Not publicly available,Not publicly available,US direct-to-consumer households purchasing via ec30clean.com.,"2019 (launched); relaunched/repositioned as ""Clean 3.0"" in 2023",Subsidiary brand of The Procter & Gamble Company (P&G Ventures incubator),"EC30 sells via direct-to-consumer e-commerce (ec30clean.com) rather than traditional retail shelf space, shipping recyclable cardboard boxes containing individual dry pads/swatches instead of heavy, plastic-bottled liquids. The brand's stated model is to eliminate plastic bottles, cut shipping weight/volume (and associated transport emissions), and remove the need for warehouse/retail space devoted to bulky liquid products, while its manufacturing process spins active cleaning chemistry into soluble fibre pads. Product lines include laundry detergent (rated ""Best Overall Laundry Detergent Sheet"" by Good Housekeeping in","United States (Procter & Gamble, Cincinnati, Ohio)",Waste Reduction,"None publicly documented beyond internal P&G development (P&G Ventures incubator). One unrelated 2020s product-line note references PureCycle recycled polypropylene use in an EC30 shower dispenser accessory, but this is a materials-sourcing detail, not a reuse partnership.","Not publicly available — P&G/EC30's own marketing claims ""up to 50% reduction in CO2 emissions from manufacturing, chemistry and shipping compared with traditional liquid cleaning products"" (per company/press materials), but no independently verified, dated quantitative figures (e.g., total plastic avoided, water saved) were found on the official site.",High,Medium,Low,"Seed description (P&G subsidiary, eco cleaning strips/laundry ""swashes,"" ultra-low waste) confirmed accurate — P&G ownership verified directly on the EC30 site. A conflict was found on launch year: earlier press coverage (2021 CES articles) references EC30 as active by 2019-2021, while the official site's ""Clean 3.0"" page frames a 2023 relaunch/repositioning; both are noted above (original launch ~2019, ""Clean 3.0"" repositioning 2023). No independently verified quantitative impact metrics were found; the ~50% emissions-reduction claim is P&G's own marketing figure and",ec30,"EC30 is a cleaning-products brand developed within Procter & Gamble's P&G Ventures innovation incubator, first launched around 2019 and later repositioned under the ""Clean 3.0"" banner (2023) as the successor to Ivory Soap (1879) and Tide (1946) in P&G's cleaning-product lineage. Instead of liquid products shipped in plastic bottles, EC30 sells dry, compact single-use pads/strips — for body wash, hand wash, shampoo, conditioner, laundry detergent and toilet-bowl cleaner — that activate into a usable cleaning",Not publicly available,Not publicly available,"EC30 is a cleaning-products brand developed within Procter & Gamble's P&G Ventures innovation incubator, first launched around 2019 and later repositioned under the ""Clean 3.0"" banner (2023) as the successor",Not publicly available,waste-reduction,2026-07-18,2026-07-18,AI,5,Medium,63,★★ Low,SDG 12: Responsible Consumption and Production,39.8283,-98.5795,country
Ecandi (Eco Bulk Bar Refill Station),"Kenya (Nairobi — Rosslyn Gates Centre, Limuru Road)",Not publicly available,Eco Create and Innovate (Ecandi) — source: circularacceleration.com; ke.linkedin.com/company/ecandi,Not publicly available,https://www.ecandi.co.ke — source: direct; confirmed live and active,Not publicly available,Not publicly available,"Nairobi residents seeking zero-waste/sustainable household, personal-care, cleaning and laundry products — source: ecandi.co.ke/refill",Not publicly available,Small independent business; the founder was selected for the '2025 Circular Business Cohort' of the Nairobi Circular Economy ClimAccelerator programme — source: circularacceleration.com,"Described as Kenya's first bulk refill station ('Eco Bulk Bar'), located within a broader zero-waste eco-shop; customers bring their own clean, empty containers (or purchase a recycled container on-site at minimal cost) to refill handpicked cleaning, personal-care, and laundry products sourced from partner producers — source: ecandi.co.ke/refill","Kenya (Nairobi — Rosslyn Gates Centre, Limuru Road)",Refill,Nairobi Circular Economy ClimAccelerator (selected for its 2025 Circular Business Cohort) — source: circularacceleration.com,Not publicly available.,Medium,Medium,Low,"Well-corroborated across 6 independent sources (LinkedIn, Instagram, Facebook, TechMoran, BusinessGhana, and a Nairobi ClimAccelerator programme page, plus the company's own site) confirming this is a genuine, currently-operating business — Facebook shows activity as recent as April 2025, and the company was selected for a 2025 circular-economy accelerator cohort, both strong recency signals. This upgrades my original candidate entry from 'Medium-High' to a more firmly evidenced High confidence on the core facts, though founding year and impact metrics remain unconfirmed. ---",ecandi-eco-bulk-bar-refill-station,"Operates Kenya's first bulk refill station, in Nairobi's Rosslyn area, where customers bring their own containers to refill ethically sourced household and personal-care products from partner producers.",Not publicly available,Not publicly available,"Operates Kenya's first bulk refill station, in Nairobi's Rosslyn area, where customers bring their own containers to refill ethically sourced household and personal-care products from partner producers.",Not publicly available,refill,2026-07-17,2026-07-17,AI,1,Low,50,Not publicly available,SDG 12: Responsible Consumption and Production,-1.2921,36.8219,city
Ecandi (Eco Create and Innovate),"Kenya (Rosslyn, Nairobi)",Active,"Eco Create and Innovate (""Ecandi"")",Not publicly available,https://ecandi.co.ke/ (refill: https://ecandi.co.ke/refill/),Not publicly available,Not publicly available,"Environmentally conscious households and consumers in Nairobi, Kenya.",Not publicly available,Privately held; founded by Amos Njiraini,"Ecandi operates a physical retail eco-shop model combined with a bulk refill station: customers bring empty containers to refill everyday household and personal-care products sourced from ethically vetted partner suppliers, avoiding single-use packaging. Beyond refill, Ecandi also runs a recycling take-back service (""Recycle With Us"") and sells upcycled/eco-manufactured items, including furniture such as tables crafted from recycled glass waste. The business has engaged with Kenya's formal circular-economy support ecosystem, participating in the Nairobi Circular Economy ClimAccelerator, which suggests external validation/support","Kenya (Rosslyn, Nairobi)",Refill Systems,"Participant in the Nairobi Circular Economy ClimAccelerator programme. Referenced in Kenya Plastics Pact-linked coverage on refill/reuse in Kenya's food & beverage industry, though no formal partnership with the Pact itself was confirmed.",Not publicly available.,High,Low,Low,"Seed description (zero-waste eco shop with bulk refill stations, Nairobi, Kenya) confirmed accurate. Official/legal name clarified as ""Eco Create and Innovate"" (trading as Ecandi). Founder identified as Amos Njiraini (not in seed). Founding year and quantitative impact data could not be verified from available sources and are recorded as ""Not publicly available"" rather than estimated. --- Confidence — Name: High | Founding Year: Low | Impact Data: Low | Last Verified: 2026-07-18 | Research Version: V5",ecandi,"Ecandi (Eco Create and Innovate) is a zero-waste eco-shop based at Rosslyn Gates Centre on Limuru Road in Nairobi, Kenya, founded by Amos Njiraini. It positions itself as Nairobi's premier zero-waste retailer, selling ethically sourced, sustainable everyday products, and operates what is described in industry coverage as the first dedicated bulk refill station of its kind in Kenya, part of its ""Eco Bulk Bar"" offering. The business has been recognised through participation in the Nairobi",Not publicly available,Not publicly available,"Ecandi (Eco Create and Innovate) is a zero-waste eco-shop based at Rosslyn Gates Centre on Limuru Road in Nairobi, Kenya, founded by Amos Njiraini. It positions itself as Nairobi's premier",Not publicly available,"consumer-education, material-recovery, refill, waste-reduction",2026-07-18,2026-07-18,AI,6,Low,53,★★★ Medium,SDG 12: Responsible Consumption and Production; SDG 4: Quality Education,-1.2921,36.8219,city
ECCBC / UNIDO PET Pilot (Morocco),"Morocco (implementation focused on Casablanca-Settat region); ECCBC is headquartered in Madrid, Spain; UNIDO is headquartered in Vienna, Austria","Active — described as ongoing with ""strong progress"" reported through 2024","Morocco PET Circularity Pilot (""first bottle-to-bottle pilot project in Morocco""), part of the SWITCH to Circular Economy Value Chains (SWITCH2CE) Project",Not publicly available,No dedicated project website; documented via https://www.switchtocircular.eu/value-chains/plastic-packaging and https://www.eccbc.com/esg-report/packaging-2024/,Not publicly available,Not publicly available,"Not applicable in the conventional sense; beneficiaries/end-users include Moroccan waste pickers and collector communities engaged in the collection network, ECCBC as the industrial off-taker of recycled PET, and (indirectly) Moroccan consumers of Coca-Cola-system beverages sold in bottles with recycled content.","Partners' agreement signed as part of a ""3-year initiative"" (exact signing date not confirmed in verified public sources; IFC/ECCBC partnership on related resource-efficiency and recycling work announced April 2023)","Not applicable — this is a multi-stakeholder pilot project/initiative, not a company. Led by Equatorial Coca-Cola Bottling Company (ECCBC), a privately held Coca-Cola bottling franchise, in partnership with UNIDO (a United Nations specialized agency) and named delivery partners","This is a donor- and corporate-funded pilot project, not a revenue-generating company, so it has no independent business model in the conventional sense. Funding and technical support come from the EU and Government of Finland (via UNIDO's SWITCH2CE programme) and from ECCBC as the lead industrial partner; the International Finance Corporation (IFC) separately announced a loan to ECCBC in April 2023 to support resource-efficient production and plastic recycling investment across its North and West Africa footprint, including Morocco. Operationally, the","Morocco (implementation focused on Casablanca-Settat region); ECCBC is headquartered in Madrid, Spain; UNIDO is headquartered in Vienna, Austria",Beverage Packaging — Bottle-to-Bottle rPET Recycling (Material Recovery / Industrial Reuse-adjacent),"- Equatorial Coca-Cola Bottling Company (ECCBC) — lead industrial partner - United Nations Industrial Development Organization (UNIDO) — programme partner, SWITCH2CE - European Union and Government of Finland — SWITCH2CE co-funders - La Générale du Recyclage (LGR) — recycling partner - Roots for Sustainability (R4S) — organizes/upskills waste pickers for household-level collection - Right Execution Daily (RED) — point-of-sale collection","Not publicly available in specific quantified form. ECCBC's 2024 ESG report states the company ""continued to make strong progress"" on the pilot and that ""efforts have been scaled"" during the year, but no tonnage of PET collected/recycled, number of collectors engaged, or rPET volume incorporated into bottles was disclosed in the sources reviewed.",Medium,Low,Low,See organisations/eccbc-unido-pet-pilot.md,eccbc-unido-pet-pilot,"The ECCBC/UNIDO PET pilot is a three-year industrial project in Morocco aiming to build a scalable, financially viable system for collecting and recycling PET bottles back into new food-grade bottles (bottle-to-bottle recycling), rather than downcycling into lower-value plastic. It is led by Equatorial Coca-Cola Bottling Company (ECCBC) in partnership with the United Nations Industrial Development Organization (UNIDO), under the EU- and Finland-funded SWITCH to Circular Economy Value Chains (SWITCH2CE) programme. The pilot combines household- and",Not publicly available,Not publicly available,"The ECCBC/UNIDO PET pilot is a three-year industrial project in Morocco aiming to build a scalable, financially viable system for collecting and recycling PET bottles back into new food-grade bottles",Not publicly available,"industrial-reuse, material-recovery, reverse-logistics, waste-reduction",2026-07-17,2026-07-17,AI,8,Low,40,★★★ Medium,SDG 12: Responsible Consumption and Production,33.5731,-7.5898,city (manual)
